,Area (sq ft),Bedrooms,Bathrooms,Garage Spaces,Age (years),Floors,Lot Size (sq ft),Nearby Schools Rating,Crime Rate (per 1000),Median Income ($1000s),Price ($1000s)
0,1660,6,2,0,38,1,7065,3,5.234288813189807,110,1401.0440176881216
1,4572,3,3,0,5,2,3179,4,7.703932459525137,115,2256.8966399693213
2,3892,5,2,0,23,1,5967,8,1.7265500411294759,77,2141.087063408193
3,1266,2,4,0,28,2,1634,4,7.557269432098606,51,941.6843553395825
4,4244,4,4,1,34,2,4631,7,7.631865640618639,67,2125.858655940176
5,3971,4,4,1,15,2,5677,5,0.6932738174815035,64,2153.6626724274815
6,3719,6,3,0,32,2,3218,9,0.2859648282631002,119,2088.19931478662
7,930,2,1,1,26,2,2389,4,9.74196051928313,119,956.4081491362952
8,2485,6,1,2,48,1,5276,3,2.014488329038367,65,1438.479811536455
9,1569,2,3,0,31,2,2249,2,8.23917817009102,145,1133.8174872517732
10,3191,3,1,2,19,3,8640,1,5.662321465148456,65,1840.4558613775685
11,3233,4,2,1,9,3,6712,6,2.718274359616269,140,2140.9499595965544
12,1984,4,1,1,29,2,2245,2,1.3867073225262447,107,1217.6404442111364
13,4185,3,3,2,39,3,9245,8,5.017105008419502,80,2378.1140033453557
14,4917,1,3,1,4,1,1442,6,4.132812635131553,65,2202.2998616275922
15,3704,6,2,0,3,1,7976,5,7.018972242658972,100,2267.6797864608093
16,1274,3,4,2,29,2,5675,2,9.051268640522494,64,1158.9935025520615
17,1882,6,3,0,11,2,8953,7,8.07195606093804,137,1886.8975445639037
18,3358,5,2,2,33,2,5377,2,2.817075297027638,66,1760.0334919020486
19,2847,4,1,1,38,3,8058,5,8.801438862677827,42,1693.8024667273799
20,3547,6,1,2,11,3,1822,2,8.350574009635581,80,1757.2778480794273
21,1775,2,2,2,27,1,3939,2,9.298448713845506,32,1089.235770668892
22,2606,6,2,0,33,3,8096,7,4.640742128276078,26,1736.7178747997953
23,989,5,3,1,21,1,6765,9,7.708894206853045,47,1336.4831622835843
24,3534,4,1,0,39,3,2031,5,5.957414848684337,115,1711.4829743959997
25,3805,3,2,1,31,1,1562,7,3.173977250239885,126,1904.3284982376701
26,2699,5,1,0,38,2,1340,4,9.944866925173358,117,1420.5639704881892
27,2067,4,2,2,46,3,5567,2,0.4792439217126474,131,1432.0127171731021
28,2328,6,1,0,2,1,8862,3,1.7064984683348394,20,1655.6352750152787
29,4002,1,4,1,27,3,3296,2,8.936169389065759,62,1808.662026898554
30,4356,1,3,1,36,2,1234,5,0.6995721497850718,61,1842.619521900168
31,4690,2,1,2,11,1,6202,6,8.879524606700866,114,2392.248804931631
32,1446,4,4,1,47,3,2291,7,7.1806926129761885,148,1280.1819167201254
33,3688,1,1,0,18,3,5727,3,0.4631716534059689,70,1863.7901039395265
34,3235,3,1,2,1,2,9720,4,4.350268424256348,34,2018.628843506096
35,1400,4,4,1,35,2,3939,8,7.569267602522147,144,1411.2366777006775
36,3163,3,1,1,35,1,6435,4,5.872692817844916,106,1769.0894919846955
37,2861,3,1,0,31,3,7981,7,9.365125790448134,72,1817.4897007457648
38,1041,1,3,0,28,3,6392,6,8.689675925828798,108,1236.1441801142757
39,2841,4,4,2,39,2,8972,7,3.3932115898080455,125,2050.970255217638
40,3624,6,4,1,1,2,2233,1,0.9378092356488944,25,1770.7612286768751
41,3412,5,2,0,25,1,3800,3,9.448144692491947,50,1681.0054516754083
42,2163,1,1,2,43,3,3775,6,5.221139000902473,59,1270.6187617110954
43,2278,1,3,1,38,3,7044,3,0.8365364812822904,88,1496.4464973735896
44,3356,6,1,1,20,1,4487,7,8.184098572256866,32,1791.1165005120642
45,1575,4,1,2,3,1,8383,9,8.698214059785371,23,1574.2392488903272
46,4814,4,2,2,2,2,4850,3,6.430303937748053,22,2229.655023490857
47,834,3,1,0,18,2,5997,1,4.530338760294765,84,1008.1284502683965
48,3952,6,3,1,44,1,1890,6,6.65551282200337,46,1794.1829892577152
49,2755,6,3,1,10,1,6920,1,7.096168587480723,126,1847.1663922042956
50,2385,4,2,1,5,3,2188,1,8.940996585051083,69,1378.9507248990133
51,4743,3,1,2,9,1,6644,8,9.563030635709907,36,2385.3993454745837
52,3873,1,3,0,2,1,1740,9,5.191777230670023,51,1962.8238724169985
53,1821,2,1,1,34,3,2369,2,8.00509588191297,36,958.2092419977495
54,4261,5,1,2,38,1,3000,9,9.648644604317383,53,2021.5456982617977
55,3413,1,1,1,31,2,2471,5,1.5973090476549636,54,1581.5423767948246
56,4643,4,2,0,10,2,2536,8,0.2808530179357992,69,2252.6937736916707
57,2300,5,1,1,12,3,1318,7,8.70274135119811,122,1543.5375166964534
58,961,2,3,0,36,1,6153,7,2.033205999146892,52,1108.4545098453113
59,2781,2,1,0,21,2,2894,4,0.5205397896548294,108,1526.71977994239
60,1795,3,3,1,49,2,8991,2,1.6849517628087014,148,1507.1981277603372
61,4142,5,1,1,47,2,9592,5,3.902737621313316,104,2260.0603675827
62,4598,3,3,0,6,2,6935,3,2.2707304457665427,78,2349.694483488237
63,2075,1,3,2,48,1,1723,9,3.1220109280943866,29,1178.3210590287722
64,1816,6,1,0,49,1,3329,6,9.755411109157459,76,1193.1763165539444
65,1137,6,1,1,3,1,3770,1,7.073614887209493,85,1130.5846969650524
66,1678,6,3,1,10,1,8545,3,7.1506981097067195,138,1709.9277555620624
67,1876,5,4,2,5,2,5846,4,1.037385209806436,131,1707.8509501226251
68,4793,6,2,0,46,3,1267,9,7.347773861244648,34,2035.7739868728536
69,1179,1,4,0,26,3,1569,6,7.419508896257518,32,924.6768529648726
70,1292,3,4,0,21,2,2973,4,6.631475682225659,133,1248.09292584583
71,2862,5,1,1,45,2,9737,1,2.361519330378963,137,1816.9719751686423
72,4684,3,2,0,26,3,3822,8,4.2880581729136305,133,2358.6321176956326
73,864,5,4,2,38,3,5460,2,8.478136901229291,53,1006.1673174473015
74,3368,3,1,1,44,2,1270,8,6.734996130472201,120,1705.1105790706854
75,2827,2,4,1,26,2,8641,6,7.354411466499033,44,1833.336768478873
76,3495,3,4,0,8,1,9930,8,5.915006561245508,131,2410.9377495498406
77,2295,6,1,2,5,1,7680,6,4.550907331206607,73,1795.3234294638078
78,1191,2,1,1,15,3,2257,5,7.614614899664371,31,951.8629640259818
79,4361,3,1,1,16,2,9250,5,0.7724655622264192,145,2510.581761408848
80,3078,5,2,0,1,3,6370,8,6.764291254524615,50,2001.4366160784436
81,3899,5,4,0,16,1,5858,7,9.972324627721724,97,2215.7982377356543
82,1000,5,1,2,37,1,9581,8,7.823900101733513,72,1380.1888280495814
83,3904,4,3,0,3,3,9910,8,2.9765787646168076,131,2590.999476810523
